#time interval; alpha avg; cmf avg; vspoles avg; alpha std; cmf std; vspoles std
20171115-20171211 31.00 5.25 701.07 4.64 2.03 10.30
20171212-20180107 30.06 5.23 698.85 4.13 2.03 9.60
20180108-20180203 29.09 5.18 696.75 3.27 2.00 8.84
20180204-20180302 28.19 5.17 694.79 3.04 1.97 8.06
20180303-20180329 27.37 5.17 692.96 3.56 2.00 7.27
20180330-20180425 26.58 5.15 691.25 4.21 1.99 6.50
20180426-20180522 25.62 5.10 689.67 4.68 1.94 5.79
20180523-20180618 24.83 5.02 688.22 4.65 1.97 5.17
20180619-20180715 24.35 4.98 686.90 4.28 1.88 4.71
20180716-20180811 24.03 4.95 685.69 4.15 1.82 4.47
20180908-20181004 24.12 4.83 683.30 4.06 1.77 4.82
20181101-20181127 23.19 4.75 680.60 3.42 1.70 5.72
20181128-20181224 22.72 4.70 679.11 3.03 1.65 6.26
20181225-20190120 22.27 4.66 677.52 2.92 1.62 6.82
20190121-20190216 21.64 4.67 675.85 2.98 1.61 7.39
20190217-20190315 21.27 4.67 674.08 2.90 1.60 7.95
20190316-20190411 21.30 4.64 672.22 2.90 1.54 8.47
20190509-20190604 21.90 4.66 668.33 2.66 1.58 9.17
20190702-20190728 21.75 4.65 664.67 2.55 1.51 8.79
20190825-20190920 20.83 4.58 661.33 2.86 1.49 7.46
20190921-20191017 20.14 4.55 659.87 2.89 1.36 6.61
20191018-20191029 19.57 4.54 658.76 2.66 1.39 5.75
