#rig1,rig2,flux,stat_unc,syst_unc; (27 days)
1.00 1.16 6.394206e+02 8.237410e-01 1.954175e+01
1.16 1.33 6.504754e+02 7.209148e-01 1.513808e+01
1.33 1.51 6.386046e+02 6.433011e-01 1.199117e+01
1.51 1.71 6.088764e+02 5.642176e-01 9.762329e+00
1.71 1.92 5.621815e+02 4.880451e-01 8.086990e+00
1.92 2.15 5.096173e+02 4.196594e-01 6.765676e+00
2.15 2.40 4.525876e+02 3.662401e-01 5.669998e+00
2.40 2.67 3.956231e+02 3.011035e-01 4.722616e+00
2.67 2.97 3.408147e+02 2.502000e-01 3.935012e+00
2.97 3.29 2.915023e+02 2.117067e-01 3.273948e+00
3.29 3.64 2.475006e+02 1.750721e-01 2.730916e+00
3.64 4.02 2.077242e+02 1.451779e-01 2.268461e+00
4.02 4.43 1.732847e+02 1.160447e-01 1.880540e+00
4.43 4.88 1.436370e+02 9.622752e-02 1.543234e+00
4.88 5.37 1.177642e+02 7.698286e-02 1.246499e+00
5.37 5.90 9.617112e+01 6.632387e-02 1.032887e+00
5.90 6.47 7.837199e+01 5.564104e-02 8.497846e-01
6.47 7.09 6.341416e+01 4.593759e-02 6.885367e-01
7.09 7.76 5.128673e+01 3.795274e-02 5.582227e-01
7.76 8.48 4.140160e+01 3.131597e-02 4.549171e-01
8.48 9.26 3.340755e+01 2.700817e-02 3.715183e-01
9.26 10.10 2.686579e+01 2.315810e-02 2.986600e-01
10.10 11.00 2.161505e+01 1.930777e-02 2.395862e-01
11.00 13.00 1.567747e+01 9.848191e-03 1.770945e-01
13.00 16.60 9.161238e+00 5.548518e-03 1.062412e-01
16.60 22.80 4.330448e+00 2.508306e-03 5.161770e-02
22.80 33.50 1.671382e+00 1.154718e-03 2.046977e-02
33.50 48.50 5.848308e-01 5.420900e-04 7.242094e-03
48.50 69.70 2.083041e-01 2.707339e-04 2.561088e-03
69.70 100.00 7.606713e-02 1.358771e-04 9.415564e-04
