#rig1,rig2,flux,stat_unc,syst_unc; (27 days)
1.00 1.16 9.007349e+02 1.169803e+00 2.634232e+01
1.16 1.33 8.788261e+02 9.994348e-01 2.014229e+01
1.33 1.51 8.296044e+02 8.691110e-01 1.568243e+01
1.51 1.71 7.617964e+02 7.470276e-01 1.242623e+01
1.71 1.92 6.815657e+02 6.317647e-01 9.993287e+00
1.92 2.15 5.976915e+02 5.310792e-01 8.067708e+00
2.15 2.40 5.162648e+02 4.592045e-01 6.552167e+00
2.40 2.67 4.400136e+02 3.710820e-01 5.316704e+00
2.67 2.97 3.730049e+02 3.045772e-01 4.349218e+00
2.97 3.29 3.153332e+02 2.317304e-01 3.568318e+00
3.29 3.64 2.631035e+02 1.925571e-01 2.915940e+00
3.64 4.02 2.188316e+02 1.540377e-01 2.413473e+00
4.02 4.43 1.802987e+02 1.190837e-01 1.967854e+00
4.43 4.88 1.482349e+02 9.626644e-02 1.610844e+00
4.88 5.37 1.209005e+02 7.700970e-02 1.322310e+00
5.37 5.90 9.805251e+01 7.072924e-02 1.050666e+00
5.90 6.47 7.946354e+01 5.629793e-02 8.662275e-01
6.47 7.09 6.435535e+01 4.618098e-02 7.028427e-01
7.09 7.76 5.186942e+01 3.811872e-02 5.679682e-01
7.76 8.48 4.172279e+01 3.204150e-02 4.617957e-01
8.48 9.26 3.365769e+01 2.694728e-02 3.765359e-01
9.26 10.10 2.704194e+01 2.301572e-02 3.024716e-01
10.10 11.00 2.176365e+01 1.924695e-02 2.443239e-01
11.00 13.00 1.578916e+01 1.009097e-02 1.826062e-01
13.00 16.60 9.250690e+00 5.571718e-03 1.082672e-01
16.60 22.80 4.375651e+00 2.501942e-03 5.260365e-02
22.80 33.50 1.684747e+00 1.154728e-03 2.095487e-02
33.50 48.50 5.892450e-01 5.395425e-04 7.421937e-03
48.50 69.70 2.103643e-01 2.694381e-04 2.668978e-03
69.70 100.00 7.654402e-02 1.347019e-04 9.871259e-04
